code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,registerType,sector,structure,subnationalCoverage,url
ES-DIR3,"The Common Directory of Organizational Units and Offices (DIR3) is a project to improve interoperability between public administration units in Spain. As a part of this, a list of all the public bodies is maintained by the Centro de Transferencia de Tecnología (Technology Transfer Centre).

""The Common Directory is conceived as a Inventory information on the organizational structure of the public administration, and its citizens care offices. That is, a catalogue of functional units, public agencies and registry offices and attention to the citizen of the administration"" [1] 

[1] http://administracionelectronica.gob.es/pae_Home/pae_Estrategias/Racionaliza_y_Comparte/sistemas_informacion_transversales/DIR3.html?idioma=en#.WDTAPaIrL8o

EXCEL Tables: http://administracionelectronica.gob.es/ctt/resources/Soluciones/238/Area%20descargas/Listado%20Oficinas%20AGE.xlsx?idIniciativa=238&idElemento=2745",,False,"E04100802, E00142804, E00003301","Users can download a dataset containing information on government agencies in Spain using this link - http://administracionelectronica.gob.es/ctt/resources/Soluciones/238/Area%20descargas/Listado%20Oficinas%20AGE.xlsx?idIniciativa=238&idElemento=2745

Identifiers are under Column Header - C_ID_UNIDAD_RESPONSABLE

Users can find this spreadsheet by going to this publically available website, and scrolling down for 'Listado de información básica de oficinas de la AGE' - http://datos.gob.es/catalogo/directorio-comun-de-unidades-organicas-oficinas-dir3","en, es",,http://administracionelectronica.gob.es/ctt/resources/Soluciones/238/Area%20descargas/Listado%20Oficinas%20AGE.xlsx?idIniciativa=238&idElemento=2745,True,ES,"bulk_download, excel, rdf","Data is available online, but is hard to find on the website. Users must go to the homepage for the DIR3 - http://administracionelectronica.gob.es/es/ctt/dir3?idioma=en# - and look under Shortcuts for the link to 'DIR3 reusable Data (datos.gob)'. This opens a list. The correct spreadsheet is 'Listado de información básica de oficinas de la AGE'","organisation_name, registration_number, date_of_registration",Custom Spanish Government License - http://administracionelectronica.gob.es/pae_Home/pae_Informacion/pae_AvisoLegal.html#.WDYW1qKLTXE,open_license,,,,,secondary,2016-11-22,Desk research,Common Directory of Organizational Units and Offices - DIR3,,62,,,,1,,,1,,,,10,,,50,,,government_agency,,http://administracionelectronica.gob.es/ctt/dir3/descargas
LV-RE,"The Register of Enterprises registers companies and maintains a database of organisation information. This information is searchable on the website and can be found in CSV form.

""Register of Enterprises is the central institution which keeps all data and records up to date. It is mandatory to submit incorporation documents with the registry at the moment of company establishment, as well as to file all amendments in the company board (directors) or shareholder registry.

The unified register is also available electronically.

The Register of Enterprises has the following functions:
to register undertakings and their branches, representative offices and representatives of foreign undertakings and organisations, co-operative companies,"" [1]

[1] http://www.baltic-legal.com/commercial-register-of-latvia-eng.htm

Free of charge information includes type of legal entity; registered office; new or current name or trade name and previously registered or historical name or trade name; registration number; Single Euro Payment Area beneficiary identification code (if allocated); registration date; date of deletion of the legal entity from the register (or the date of reorganisation if the reason for the deletion is a reorganisation); deadline for registration of religious organisations that are subject to re-registration.",,False,"40008124830, 51203041201, 40008124830","Users can find identifiers by using the search bar which is present near the top of every page on the website. Users must have a name or key word, and select 'Company / Organisation' on the drop-down box to the right of the search bar.

The identifier will be next to the heading 'Registration number' in the results shown.

Users can also download a CSV of the entire registry.

Users can also use the search on the Lursoft website. After opening one of the results, the identifier can be found next to the heading 'Registration number'.","en, lv","Data is available through simple, searchable function on government webpage, on an alternative website (Lursoft) and also as CSV download","http://www.ur.gov.lv/ , http://www.lursoft.lv/?v=en, http://dati.ur.gov.lv/register/",True,LV,"csv, html","Link to CSV download found at http://index.okfn.org/place/latvia/companies/   , Link to Lursoft found at https://opencorporates.com/registers/137 . More detailed information in Lursoft, and Lursoft is in English, whereas ur.gov.lv is in Latvian","registered_address, organisation_name, date_of_registration, registration_number, organisation_type","https://opencorporates.com/registers/137 , http://index.okfn.org/place/latvia/companies/",open_license,,,http://opencorporates.com/companies/lv,,primary,2016-11-26,Desk research,Register of Enterprises of the Republic of Latvia,,86,,,1,,,,,,,,10,,75,,,,company,,http://www.ur.gov.lv/
GB-SC,"The Office of the Scottish Charity Register (OSCR) regulates charities in Scotland and maintains a public registry of these charities.

""The OSCR perform a range of functions which includes:[5]

Determining whether bodies are charities.
Keeping a public Register of charities.
Facilitating compliance by charities with the legislation.
Investigating any apparent misconduct in the administration of charities.
Giving information or advice to Scottish Ministers."" [1]

[1] https://en.wikipedia.org/wiki/Office_of_the_Scottish_Charity_Regulator",,False,"SC042386, SC025693, SC000587","Users can find identifiers using the easy, searchable database at this webpage - http://www.oscr.org.uk/public/search-scottish-charity-register

Identifiers are located on the left under the column heading 'Charity Number'

Users can also download a CSV of the dataset at this webpage - http://www.oscr.org.uk/charities/search-scottish-charity-register/charity-register-download

They will need to accept the Terms and Conditions, and then open the resulting zip file. Identifiers are under the column header ' Charity Number'",en,,http://www.oscr.org.uk/public/search-scottish-charity-register,True,GB,"csv, bulk_download, html",http://www.oscr.org.uk/charities/search-scottish-charity-register/charity-register-download,"organisation_name, date_of_registration, registration_number, akas, status, directors_trustees_governors, website, post_code/zip_code, objectives/purpose",Open Government Licence v.2.0. ,open_license,,,,,primary,2016-11-23,Desk research,Scottish Charity Register,,86,,,1,,,,,,,,10,,75,,,,charity,GB-SCT,http://www.oscr.org.uk/
UG-RSB,Businesses and NGOs register with the Registration Services Bureau and receive an identification number. This number can be used as an identifier. A publicly available database can be search on the Bureau website.,,False,"80010001803086 / BN-55471 , R1000000336259 , 80010003208981 / 101303A","Users can find identifiers by using the database on the bureau website. Users must complete a Captcha puzzle in order to search. The identifiers will be under the column header 'Nr'.

Users should be aware that identifiers are not formed in a uniform manner, and use slashes and hyphens.",en,,http://brs.ursb.go.ug/brs/pro/bnr/searchname#SearchNamePub,True,UG,html,Users must complete Captcha puzzle in order to search,"date_of_registration, registration_number, organisation_name, status, expiry_date",,,,,,,primary,2016-12-16,Desk research,Registration Services Bureau,,75,,,,,,,,,,,,,75,,,,,,http://www.ursb.go.ug/
ZA-NPO,"The Nonprofit Organisation Directorate is held under the South African Department of Social Development. NPOs register with the Nonprofit Organisation Directorate and are assigned a registration number. Users can refer to ZA-NPO for unique identifiers for NGOs in South Africa. The database can be searched for free.

Users should note that they should not include ""NPO"" to the end of the identifier.

""The Nonprofit Organisations Directorate was established in terms of the Nonprofit Organisations Act 71 of 1997 to essentially administer the Register of Nonprofit Organisations in South Africa.  

The Register of Nonprofit Organisations (NPOs) is a voluntary registration facility that enhances the credibility of the registered NPO as it reports to a public office. The NPO Directorate, as a public office, holds information about registered NPOs for the public to access. "" [1]

[1] http://www.dsd.gov.za/npo/",,False,"181-465, 015-712, 56-058","Users can find identifiers by using the simple, searchable database. Identifiers will be under the column header 'Registration No.'

Users should note that they do not need to attach ""NPO"" to the end of the identifier.",en,,http://www.npo.gov.za/PublicNpo/Npo,True,ZA,html,,"date_of_registration, registration_number, organisation_name, organisation_type, registered_address, directors_trustees_governors, phone_number, e-mail_address",,no_license,,,,,secondary,2016-12-21,Desk research,Nonprofit Organisation Directorate - South African Department of Social Development,,55,,,,,,,,,,5,,,,50,,,charity,,http://www.npo.gov.za/
LS-LCN,"The Lesotho Council of NGOs provides a range of support services and advocacy to civil society organisations  in Lesotho. They do not appear to have the responsibility of either registering NGOs or maintaining a database of identifiers.

""The Lesotho Council of Non-Governmental Organisations (LCN) is an umbrella organizations for NGOs in Lesotho. It was established in May 1990 with an objective of providing supportive services to the NGO Community. The Council implements this through networking and leadership training and development, information dissemination, capacity building, coordination, advocacy and representation when dealing with the government and the international community."" [1]

[1] http://www.lcn.org.ls/about/default.php",,False,,No identifiers returned on OIPA request,en,,,True,LS,data_not_available,,,,closed_license,True,,,,deprecated,2016-11-26,,Lesotho Council of Non Governmental Organisations,,0,,,,,,,,,0,,,,,,,,charity,,http://www.lcn.org.ls/
US-USAGOV,"The U.S. Government website has an index of departments and agencies. This index can be searched, and the URL paths for agencies used to construct government agency identifiers. 

",,False,,"Use the final segment of the url (below /federal and excluding the extension) as the “registration number”, converting all “-” to “_”. Keep “registration number” portion all lowercase.

ADD EXAMPLE","en, es",,http://www.usa.gov/directory/federal/index.shtml,True,US,html,,"registered_address, e-mail_address, phone_number, website, organisation_name, organisation_type",,no_license,,,,,third-party,2016-12-27,Desk research,Index of U.S. Government Departments and Agencies,,5,,,,,,,,,,5,,,,,,,government_agency,,https://www.usa.gov/
GH-DSW,"All NGOs wishing to operate in Ghana must first register with the General Registrar's Office, and then apply for NGO status from the Department of Social Welfare (DSW). NGOs are then issued with a certificate that contains their registration number. 

There is no database available for search.

""The Social Welfare Department is the regulator of NGOs in Ghana and is therefore mandated to issue certificates of recognition to organizations to operate as NGOs. "" [1]

[1] http://g-lishfoundation.org/wp-content/uploads/2011/02/HOW-TO-START-AN-NGO-IN-GHANA.pdf",,False,258,,en,,None available,True,GH,data_not_available,The DSW website does not refer to NGO registration,,,closed_license,False,,,,secondary,2016-12-27,Desk research,Department of Social Welfare,,50,,,,,,,,,0,,,,,50,,,charity,,
TZ-BRLA,"The Business Registrations and Licensing Agency (BRELA) registers companies in Tanzania. Based on the data available on Open Corporates, it appears that BRELA assigns each organisation with a unique identifier .

Company information is not freely searchable or available online. Users must sign up for a fee to search company names.

""The Business Registrations and Licensing Agency (BRELA) is an Executive Agency under the Ministry of Industry and Trade responsible for business administration and regulation of the laws; namely Companies Registration, Business Names Registration, Trade and Service Marks Registration, granting of Patents and issuing of Industrial License."" [1] 

""The Business Registrations and Licencing Agency (BRELA) is the government agency that has started recently to list registered companies in Tanzania. (http://www.brela.go.tz/) Previously there was a company name search feature available on its website, but this appears to have gone, and there is no other form of company data in evidence."" [2] 

[1] http://www.brela.go.tz/index.php/about/introduction
[2] http://index.okfn.org/place/tanzania/companies/",,False,,"Users can find identifiers by searching the OpenCorporates list of companies in Tanzania. The identifier will be next to the header 'Company Number'

Users should note that this dataset has not been updated since August 2015 when BRELA starting charging £8 per search.","en, sw",,https://ors.brela.go.tz/login / https://opencorporates.com/companies/tz/,True,TZ,html,"Data has not been updates since August 2015, and is held on a third-party website - OpenCorporates","registration_number, status, date_of_registration, organisation_type",https://opencorporates.com/registers/255,closed_license,,,http://opencorporates.com/companies/tz,,primary,2016-12-19,Desk research,Tanzania Business Registrations and Licensing Agency,,75,,,,,,,,,0,,,,75,,,,company,,http://www.brela.go.tz/
GB-EDU,"All educational establishments in the United Kingdom must be registered with the Department of Education. Edubase is provided by the Department of Education and provides a URN for each school, university and other educational establishment in England and Wales.

However, the EduBase CSV contains 4,248 records, and therefore cannot be said to be a complete dataset for all educational establishments in England and Wales. 

""In January 2012, there were 8.2 million pupils attending 24,372 schools in England "" [1] 

[1] https://www.gov.uk/government/publications/number-of-schools-teachers-and-students-in-england",,False,"125554, 125756, 134533","Users can search for an educational establishment on this webpage - http://www.education.gov.uk/edubase/home.xhtml

After conducting a search and selecting a school, college etc from the search results, the identifier will be next to the subject heading 'URN'

Users can also download a CSV of the EduBase data by scrolling down the same webpage and clicking on the 'All EduBase data.csv ' link under 'Data Downloads'",en,"Users can search using an easy to use form, or downloading the CSV.",http://www.education.gov.uk/edubase/home.xhtml,True,GB,"csv, html",,"registered_address, registration_number, organisation_name, organisation_type",,open_license,,,,,secondary,2016-11-23,Desk research,"Edubase, by the Department of Education",,61,,,1,,,,,,,,10,,,50,,education,"government_agency/public_service, government_agency",,http://www.education.gov.uk/edubase/home.xhtml
ML-CCIM,"The Chamber of Commerce and Industry of Mali (CCIM) is responsible for the organization and professional representation of organisations and legal persons working in the various branches of commercial, industrial and service activities in Mali.",,False,,Ask organisations for their registration number as issued by the Chamber of Commerce and Industry of Mali.,,,,True,ML,,,,,no_license,False,,,,primary,2017-08-05,IATI,The Chamber of Commerce and Industry of Mali,,80,,,,,,,,,,5,,,75,,,,company,,http://www.cci.ml/
CA_PE-PEI_IPE,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,,,https://www.registreentreprises.gouv.qc.ca/RQAnonymeGR/GR/GR03/GR03A2_19A_PIU_RechEnt_PC/PageRechSimple.aspx?T1.CodeService=S00436&Clng=F&WT.co_f=2c711dfd08c3696dc2c1481744819355,True,CA,,,,,no_license,,,,,primary,2016-12-14,Desk research,Prince Edward Island Corporate,Business Names Registry,80,,,,,,,,,,5,,,75,,,,company,CA-PE,http://www.gov.pe.ca/corporations/index.php
GB-COH,"Companies House is the United Kingdom's register of companies.

It contains entries for many kinds of companies, including:

* Public limited company (PLC)
* Private company limited by shares (Ltd, Limited)
* Private company limited by guarantee, typically a non-commercial membership body such as a charity
* Private unlimited company (either with or without a share capital)
* Limited liability partnership (LLP)
* Limited partnership (LP)
* Societas Europaea (SE): European Union-wide company structure
* Companies incorporated by Royal Charter (RC)
* Community interest company",,True,"09506232, 07444723",,en,,https://www.gov.uk/get-information-about-a-company,True,GB,api,An API is available at https://developer.companieshouse.gov.uk/api/docs/ and bulk data is provided at http://download.companieshouse.gov.uk/en_output.html,"registered_address, directors_trustees_governors","“Supplied under section 47 and 50 of the Copyright, Designs and Patents Act 1988 and Schedule 1 of the Database Regulations (SI 1997/3032)”",open_license,False,,http://opencorporates.com/companies/gb,,primary,2016-09-17,,Companies House,,87,2,,,,,,,,,,10,,75,,,,"company/listed_company, company/community_interest_company, company/partnership, company/limited_company, charity, company",,http://www.companieshouse.gov.uk/
CA_ON-ONT,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,"ServiceOntario, Ministry of Government Services ", Ministère des Services gouvernementaux,75,,,,,,,,,0,,,,75,,,,company,CA-ON,https://www.ontario.ca/page/business-and-economy
CA-CRA_ACR,"Companies in Canada register with their provincial authority, e.g. British Columbia, and then they register with the Canadian Revenue Agency in order to pay corporate income tax and receive a Business Number.

The code CA-CRA_ACR is used for Canadian Business Numbers. 

Non-profits and other kinds of legal entities may also have a Canadian Business Number. 

The business number is sometimes reported with a Program Account code (e.g. RP0001 to indicate a payroll program account, leading a number such as 123456789RP0001). In constructing an organisation identifier, only the first nine digits should be used. 

Companies can be searched by using the Business Number, as assigned by the CRA, on this incomplete registry hosted by the Canadian govt - https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA

## More detail:

Not all companies need a Canadian Business Number. Detailed information can be found here - http://www.cra-arc.gc.ca/tx/bsnss/tpcs/bn-ne/wrks-eng.html

Not all charities need to register with the Canadian Revenue Agency. Detailed information can be found here - http://www.cra-arc.gc.ca/chrts-gvng/chrts/pplyng/rgstrtn/mnd-eng.html

Not all non-profit organisations must register to become a charity. Detailed information can be found here - http://www.cra-arc.gc.ca/chrts-gvng/dnrs/rgltn/dffrnc-rc-np-eng.html

""Your Business Number is a nine-digit account number that identifies your business to federal, provincial, and municipal governments.""[1]

[1] http://www.canadabusiness.ca/programs/business-number-bn-1/",,False,"101182509, 820336113","Users can find identifiers by using the simple, searchable database which is hosted by the Canadian Government, on a website separate to the Canadian Revenue Agency. Two identifiers are returned: the Corporate Number and the Business Number. The identifiers will be next to these names, respectively. For CA-CRA_ACR the business number should be used.

The business number is sometimes reported with a Program Account code (e.g. RP0001 to indicate a payroll program account, leading a number such as 123456789RP0001). In constructing an organisation identifier, only the first nine digits should be used. ","en, fr",Data is available on a website separate to the CRA. The database is incomplete,https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA,True,CA,html,,"registered_address, registration_number, organisation_name, status, directors_trustees_governors, accounts, business_id_history",http://index.okfn.org/place/canada/companies/,closed_license,,,http://opencorporates.com/companies/ca,,secondary,2016-12-14,Desk research,Canadian Revenue Agency , Agence du revenu du Canada,50,,,,,,,,,0,,,,,50,,,"company, charity",,http://www.cra-arc.gc.ca/
CA_AB-ABT,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,en,,,True,CA,,,,,closed_license,,,,,primary,2016-12-14,Desk research,Corporate Registry Office , Bureau d'enregistrement des sociétés,75,,,,,,,,,0,,,,75,,,,company,CA-AB,http://www.servicealberta.ca/Corporate_Registry.cfm
SS-RRC,The South Sudan Relief and Rehabilitation Commission (SSRRC) is an agency of the Government of South Sudan. It is the operational arm of the Ministry of Humanitarian Affairs and Disaster Management. The NGO Act 2016 added additional powers to the agency to register any NGO interested in operating in South Sudan. ,,False,,Ask organisations registered with the South Sudan Relief and Rehabilitation Commission for their registration number. ,,,,True,SS,data_not_available,,,,no_license,False,,,https://en.wikipedia.org/wiki/South_Sudan_Relief_and_Rehabilitation_Commission,secondary,2017-08-05,IATI,South Sudan Relief and Rehabilitation Commission,,55,,,,,,,,,,5,,,,50,,,charity,,
PK-PCP,"The Pakistan Centre for Philanthropy provides certification for NGOs working in Pakistan. Registration with the PCP is not obligatory for working in Pakistan and therefore not all NGOs will be recorded on the 'PCP Certified CSO List'. However, this list can be searched online.

All NGOs are required to register with their local Voluntary Social Welfare department. 

""This voluntary assessment aims to enhance a CSOs' credibility and resultantly its access to funding. Through the allied activities of this programme, PCP promotes certified CSOs in an annual directory and on its website and also builds capacities of civil society organisations for greater effectiveness."" [1]

[1] http://pcp.org.pk/page.php?pid=19",,False,,NGOs do not receive an identifier after being certified by the PCP. Unique identifiers are not available on the CSO list.,en,A bulk dataset is available at https://drive.google.com/file/d/0B67B7u-xqLazZFhHTkUtUVVRWXc/view although it is not clear how far this is kept updated,http://pcp.org.pk/index.php,True,PK,"html, google_drive","Data is available through simple online search, and also as Google Drive link. For the latter, users may need a Google Drive account","organisation_name, organisation_type, directors_trustees_governors, date_of_registration, objectives/purpose, registered_address, e-mail_address, phone_number",,closed_license,True,,,,third-party,2016-12-01,Desk research,Pakistan Centre for Philanthropy,,0,,,,,,,,,0,,,,,,,,charity,,http://pcp.org.pk/index.php
AF-CBR,"The Afghan Central Business Registry is a service which allows a single place to register a business in Afghanistan. All companies, groups and individuals are required to register at the ACBR, where they receive confirmation of their registration, become published in the ACBR Gazette and receive the Tax Identification Number. 

""The new Central Registry is a one stop shop to register your business. It brings together all of the functions previously done by the commercial courts, the Ministry of Justice and the Ministry of Finance."" [1]

""ACBR exists to provide services to businesses in Afghanistan intending to register their names and protect their intellectual property rights."" [2]

""All corporations, partnerships, limited liability companies and sole proprietorships doing Trade are required to register with ACBR, which facilitates the registration process, including assistance for completing the application form, paying fees, publishing key business information in the Official Gazette and reporting specification of businesses to the Revenue Department of MoF. Registration is required only one time unless a business makes major changes (i.e., change in ownership, executive management, or location or if the initial capital increases or decreases).

Businesses are referred to ACBR from either the Trader License office located in the Ministry of Commerce and Industry, from AISA, or from any other license departments after they acquire a business license."" [3]

[1] http://acbr.gov.af/FAQ.html
[2] http://acbr.gov.af/index.html
[3] http://acbr.gov.af/registration.html",,False,,"The identifiers are the Tax Identification Numbers, but they are not publicly available.","en, ar",,"Information about companies registered with ACBR is recorded in the Official Gazette (written in Arabic), but there is no public database - http://www.moj.gov.af/content/files/OfficialGazette/0401/OG_0455.pdf",True,AF,data_not_available,,,,no_license,,,,,primary,2016-11-24,Desk research,Afghanistan Central Business Registry,,80,,,,,,,,,,5,,,75,,,,company,,http://acbr.gov.af/
CA_NS-NVS_NVE,This entry was imported from the Open Corporates Jurisdiction List.,,False,,,"en, fr",,https://rjsc.gov.ns.ca/rjsc/search/doSearch.do,True,CA,html,,,,closed_license,,,,,primary,2016-09-07,Desk research,Nova Scotia Registry of Joint Stock Companies , Registre des sociétés de capitaux,75,,,,,,,,,0,,,,75,,,,company,CA-NS,http://novascotia.ca/sns/access/business/registry-joint-stock-companies.asp
XI-PB,"Public Bodies is an Open Knowledge Foundation (OKF) project that aims to provide a unique ID for every part of every government. The main website is a portal for linking to profile pages for countries whose public bodies OKF has recorded. There are also links to directly download CSVs of this information.

Data available on the following countries/regions - Brazil, European Union, Germany, Greece, New Zealand, Switzerland, United Kingdom, United States ",,False,"gb/aberdeen-city-council, de/14-panzergrenadierdivision-hanse, ch/bundesrat-eidgenoessisches-departement-fuer-auswaertige-angelegenheiten-direktion-fuer-ressourcen-logistik-eda-bundesreisezentrale-pool-2-evd-edi-uvek-vbs-ejpd","Users can click on the link for a country profile to access a webpage with a list of public bodies from that country. Once they open a link to a specific body, the data is available in JSON format. Identifiers will be under the tag 'id'.

Users can also download a CSV file which contains information on each public body. Identifiers will be under the column header 'id'.","pt, de, el, en",,http://publicbodies.org/,True,"BR, CH, GR, US, DE, GB, NZ","csv, html, json","http://publicbodies.org/ - CSV download available for Brazil, European Union, Germany, Greece, New Zealand, Switzerland, United Kingdom and United States","registration_number, organisation_name, objectives/purpose, organisation_type, registered_address, website, date_of_foundation, e-mail_address",http://opendatacommons.org/licenses/pddl/1.0/,open_license,,,,,third-party,2016-12-28,Desk research,Public Bodies - Open Knowledge Foundation ,,12,,,1,,1,,,,,,10,,,,,,government_agency,,http://publicbodies.org/
FI-PRO,"All business operating in Finland must be registered with the Finnish Trade Register. The Finnish Trade Register is maintained by the Finnish Patent and Registration Office (PRO), whom are also responsible for maintaining the Business Information System, which can be used to search for all companies in Finland, and the API which allows users to download company information in bulk. 

""The Finnish Trade Register (Finnish: Kaupparekisteri, Swedish: Handelsregistret) is a company register in Finland. It provides official information on businesses in the whole country, including data from current and old register entries, articles of association, partnership agreements or rules."" [1]

""The Finnish Trade Register is a public register that contains information about businesses and companies. As a rule, all businesses have to be registered at the Trade Register. Businesses also have to notify the register of any changes in their registered details. Most businesses must also submit their financial statements (annual accounts) to the register. "" [2] 

""The Business Information System BIS (""YTJ"" in Finnish) is a service jointly maintained by the Finnish Patent and Registration Office (PRH) and the Finnish Tax Administration, enabling you to file information to both authorities using one single notification. 

You can use the BIS to:

start a business or an organization
report changes 
close down a business or an organization
search for basic details of companies and organizations using the company search"" [3]

[1] https://en.wikipedia.org/wiki/Finnish_Trade_Register
[2] https://www.prh.fi/en/kaupparekisteri/rekisterointipalvelut.html
[3] https://www.ytj.fi/en/index/whatisbis.html",,False,"1680140-0, 2261873-3, 0551253-1","Users can search for identifiers on this webpage. They must provide a minimum of a company name or company identifier number - https://www.ytj.fi/index.html

It is also available in English - https://www.ytj.fi/en/index.html

The identifier will be located above the information box next to the heading 'Business ID'

The API for the Finnish Trade Register is available here - http://avoindata.prh.fi/ytj.html

It is also available in English - http://avoindata.prh.fi/ytj_en.html","en, fi, sv","Data is either available in a simple, searchable database, or using an API","https://www.ytj.fi/en/index.html , http://avoindata.prh.fi/ytj_en.html",True,FI,"api, html",http://avoindata.prh.fi/index_en.html,"registered_address, website, date_of_registration, organisation_name, parallel/auxiliary_trade_name, organisation_type, business_id_history",Creative Commons Attribution 4.0 - http://avoindata.prh.fi/index_en.html,open_license,,,,,primary,2016-11-23,Desk research,Finnish Patent and Registration Office , PRH - Patentti- ja rekisterihallitus ,87,2,,,,,,,,,,10,,75,,,,company,,http://www.prh.fi/en/index.html
GB-UKPRN,A UKPRN is a unique number allocated to a provider on successful registration on the UK Register of Learning Providers. ,,False,"10000346, 10010014",,,Requests for data can be made to the UK Register of Learning Providers by e-mail.,,True,GB,,,"registered_address, website, e-mail_address",Requests for data must state the intended re-use. ,closed_license,,,,,secondary,,,UK Register of Learning Providers,,50,,,,,,,,,0,,,,,50,,education,,,https://www.ukrlp.co.uk/
SK-ZRSR,"The Ministry of Interior Trade Register does have a database of companies, but users should refer to the Ministry of Justice Business Register in SK-ORSR for the unique identifier list for Slovakia. 

The Ministry of Justice has been shown to be the organisation responsible for company registration, and thus SK-ZRSR has been deprecated in favour of SK-ORSR.",,False,"35919043, 47364319, 36781673","Users can find identifiers using the simple, searchable online database. Users will have to click on the link for 'Aktuálny' or 'Úplný' under the column heading Výpis - or in English,  for 'Actual' or 'Full' under the column heading 'Extract' - of one of the companies in the search results in order to see company details.

Identifiers will be next to the heading 'IČO' or 'Identification' in English","en, sk",Database can be searched using the simple search. ,http://www.orsr.sk/search_subjekt.asp?lan=en,True,SK,html,,"registered_address, registration_number, date_of_registration, directors_trustees_governors, organisation_type, accounts, objectives/purpose",https://opencorporates.com/registers/234,closed_license,True,,http://opencorporates.com/companies/sk,,deprecated,2016-12-07,Desk research,Slovakia Ministry Of Interior Trade Register,,0,,,,,,,,,0,,,,,,,,company,,http://www.orsr.sk/search_subjekt.asp?lan=en
CN-SAIC,"The SAIC is the national body which ensures business rights in China, for both domestic and foreign enterprises. Businesses must register with the SAIC. The Enterprise Registration Bureau is the department responsible for enterprise registration.

For further details on the procedure for starting a business entity, see this WikiProcedure - https://www.wikiprocedure.com/index.php/China_-_Start_a_Business_Entity

The database is only available in Chinese language

""The State Administration for Industry & Commerce (SAIC) of the People’s Republic of China is the competent authority of ministerial level directly under the State Council in charge of market supervision/regulation and related law enforcement through administrative means.

With creating a regulated and harmonized market environment of fairness, justice and faithfulness for the coordinated socioeconomic development as its objective, SAIC functions in maintaining market order and protecting the legitimate rights and interests of businesses and consumers by carrying out regulations in the fields of enterprise registration, competition, consumer protection, trademark protection and combating economic illegalities."" [1] 

""Our responsibilities:
2.     Carry out and administer registration of enterprises (including foreign-invested enterprises), agricultural cooperatives, entities or individuals engaged in business operation and resident representative offices of foreign companies; and take charge of the investigation and ban on unlicensed business operation according to law."" [2]

""Enterprise Registration Bureau
-        Draft measures and practice directions regarding enterprise registration;
-        Coordinate and guide enterprise registration nationwide; 
-        Take charge of registration of certain enterprises and supervises the registrants’ registration practices; 
-        Organize and guide credit rating of businesses; 
-        Establish and maintain the national database of enterprise registration information, and analyze and publish registration information of domestic enterprises."" [3]

[1][2] http://www.saic.gov.cn/english/aboutus/Mission/index.html
[3] http://www.saic.gov.cn/english/aboutus/Departments/",,False,,,,,,True,CN,,,,,,,,,,primary,2016-11-21,Desk research,State Administration for Industry and Commerce (SAIC),,75,,,,,,,,,,,,,75,,,,,,http://gsxt.saic.gov.cn/
GB-GOR,"The UK Government Organisation Register contains an identifier for every government body with a presence on the gov.uk single domain.

This covers government departments, agencies and Arms Length Bodies (ALBs).

Each organisation is assigned an alphanumeric identifier, and the register also includes website addresses, that can be mapped to entries in the GB-GOVUK identifier list. 

Due to the stable identifiers given in the Government Organisation Register, it should be preferred over codes from the GB-GOVUK list. ",,True,"OT1211, PB1204, EA1113, D1198",The identifier is available in the 'government-organisation' field within the register. Identifiers are short alphanumeric strings. ,en,The list is accessible as open data as part of the OpenRegister platform.,https://government-organisation.register.gov.uk/records,True,GB,"api, bulk, csv, json, rdf",The full list and individual records are available in a number of machine-readable formats.,"date_of_registration, expiry_date",Open Government Licence v3.0,open_license,False,,,,secondary,2017-07-08,https://github.com/OpenDataServices/org-ids/issues/67,Government Organisation Register,,67,2,2,1,,1,,1,,,,10,,,50,,,government_agency,,https://government-organisation.register.gov.uk/records
